,text,sentiment,Clean_text,Clean_text_length,mood
54,RT @NaturePortfolio: An article published in @NatureGenet provides insights into the influence of human genes on gut health and their role…,0.0,articl publish provid insight into influenc human gene health their role,72,Positive
55,@GraemeEdgeler @Matt_Northland @NZMorningReport You were quoting the Universal Declaration but say it’s the NZ Bill… ,0.0,were quot univers declar bill,29,Positive
56,"RT @Cravenator1: @TheGentYYC @OttawaPolice @OPSChiefSloly @JimWatsonOttawa ""19 Ontario police officers have launched a constitutional chall…",0.0,ontario polic offic have launch constitut chall,47,Positive
57,"RT @takvera: Important #Budget2022 advocacy by ACOSS addressing importance of #climateaction as part of effective action takling social, in…",0.2833333333333334,import #budget advocaci acoss address import #climateact part effect action takl social,87,Positive
58,"RT @therainbwpooper: Govt is doing a poor job of Sehat card orientation of the masses.

Judging from what I am hearing from people, It is s…",-0.4,govt do poor sehat card orient mass judg from what hear from peopl,66,Negative
59,RT @lindahaslett: @fordnation Hmm... Let's not forget that @fordnation Dr. Moore have refused to do in person pressers. They will only do t…,0.0,forget that moor have refus person presser they will onli,57,Positive
60,"RT @SXue_0131: Happy birthday Coptermom, wish mom good health and happiness 🥳

@Copter_MomRonk ",0.7333333333333334,happi birthday coptermom wish good health happi,47,Positive
61,How do I purchase the baby billy health elixir truck wrap for my home,0.0,purchas babi billi health elixir truck wrap home,48,Positive
62,RT @Beyssexdungeon: I just can't fathom seeing an abuser pull out a gun and use it to hold the girl he abused against her will and still de…,0.0,just fathom see abus pull hold girl abus against will still,59,Positive
63,"RT @chosensomto: I will not drag an old man for peeing his pants, as we all hope to get old someday and stay good health; but I really do h…",0.22999999999999998,will drag pee pant hope someday stay good health realli,55,Positive
64,Great to see the extension of Australia's Health Security Initiative for another 5 years. It has never been more im… ,0.65,great extens australia health secur initi anoth year never been more,68,Positive
65,"RT @rachaelawalsh: During the pandemic, widespread evictions were prevented on the grounds of public health emergency. The housing crisis i…",0.0,dure pandem widespread evict were prevent ground public health emerg hous crisi,79,Positive
66,"RT @JamesMelville: Paris today. 🇫🇷 

“It’s for your health and safety.”

",0.0,pari today your health safeti,29,Positive
67,RT @mrdynamic_001: The bill on NHIF and the other acts around the health sector are now going to open up and give us the opportunity to be…,-0.0625,bill nhif other act around health sector go open give opportun,62,Negative
68,"@JJROCKXX--Many Many Happy Returns of the Day RO bhaiya..May God bless u abundantly always with health, happiness,… ",0.6333333333333333,mani mani happi return bhaiya bless abundantli alway with health happi,70,Positive
69,Push-back from government mouthpieces are trying to say that the mandates are not a sign that government will/has a… ,0.0,push back from govern mouthpiec tri that mandat sign that govern will,69,Positive
70,i will wait for you both to get better!!! dont be sorry!! for now just take a good care of your health #옞덩봤덩,0.29843749999999997,will wait both better dont sorri just take good care your health,64,Positive
71,you don’t understand my mental health rests on madi and zach being the winners between them and bock,-0.1,understand mental health rest madi zach be winner between them bock,67,Negative
72,"RT @Super70sSports: Sometimes, in quiet moments of reflection, he wondered if all the energy he was expending on killing Batman was good fo…",0.35,sometim quiet moment reflect wonder energi expend kill batman good,66,Positive
73,"RT @POTUS: Yesterday, Jill and I got to celebrate Lunar New Year with White House Staff. We send our warmest greetings to everyone celebrat…",0.06818181818181818,yesterday jill celebr lunar year with white hous staff send warmest greet everyon celebrat,90,Positive
74,"@magtuba123 Give a man health and a course to steer, and",0.0,give health cours steer,23,Positive
75,RT @Mettur_Rajesh: implementagion of Source Segregation - Solid Waste in cities and towns and Zero Waste agenda would help to improve gener…,-0.13333333333333333,implementagion sourc segreg solid wast citi town zero wast agenda would help improv gener,89,Negative
76,@wooknponub I’ve noticed the covid “health” propaganda has been consistently about six months behind proven medical… ,-0.08333333333333333,notic covid health propaganda been consist about month behind proven medic,74,Negative
77,RT @ABC: It comes amid a scarcity of treatments that work against the explosive variant. ,0.0,come amid scarciti treatment that work against explos variant,61,Positive
78,"Woooo chile, they need to play this season in every health class in every school in every country. If this doesn’t… ",0.0,woooo chile they need play thi season everi health class everi school everi countri thi doesn,93,Positive
79,"RT @ClaOr9: Hot off the press 📰 This week femtech:brief is all about pelvic health startups and innovations. Happy reading!

",0.625,press thi week femtech brief about pelvic health startup innov happi read,73,Positive
